"agency_code","collection_id","collection_date","surv_year","species_display_name","sex_type","trap_acronym","trap_problem_bit","num_trap","trap_nights","num_count","site_code","agency_id","county","collection_longitude","collection_latitude","spatial_feature","multiple_features"
"AGENCY",1367025,2015-01-02,2015,"Cx tarsalis","female","MMT",FALSE,1,15,1,232114,1,"County 1",-121.187769677451,38.7020676122505,"Zone B",FALSE
"AGENCY",1368095,2015-01-10,2015,"Cx pipiens","female","NJLT",FALSE,1,8,1,242114,1,"County 1",-121.144832454536,38.7960797837367,"Zone A",FALSE
"AGENCY",1374835,2015-01-22,2015,"Cx pipiens","male","GRVD",FALSE,1,6,6,222114,1,"County 1",-121.217137521495,38.8444460202086,"Zone C",FALSE
"AGENCY",1366932,2015-01-02,2015,"Cx pipiens","female","NJLT",FALSE,1,15,1,213114,1,"County 1",-121.273516256463,38.84428240982,"Zone C",FALSE
"AGENCY",1368212,2015-01-10,2015,"Cx pipiens","female","NJLT",FALSE,1,8,1,155114,1,"County 1",-121.305999488642,38.8297454577013,"Zone C",FALSE
"AGENCY",1366926,2015-01-02,2015,"Cs inornata","female","GRVD",FALSE,1,15,6,145114,1,"County 1",-121.240901929869,38.6876192775649,"Zone B",FALSE
"AGENCY",1366927,2015-01-02,2015,"Cs incidens","male","NJLT",FALSE,1,15,4,221114,1,"County 1",-121.086179300827,38.7518616689293,"Zone A",FALSE
"AGENCY",1368197,2015-01-10,2015,"Cx tarsalis","male","NJLT",FALSE,1,8,1,135114,1,"County 1",-121.09178143004,38.7305322154596,"Zone A",FALSE
"AGENCY",1366936,2015-01-02,2015,"Cs inornata","female","NJLT",FALSE,1,15,1,204115,1,"County 1",-121.288778903282,38.8326977555077,"Zone C",FALSE
"AGENCY",1374821,2015-01-22,2015,"Cs inornata","female","NJLT",FALSE,1,6,1,124114,1,"County 1",-121.128078421715,38.8270617422023,"Zone A",FALSE
"AGENCY",1377726,2015-01-29,2015,"Cx pipiens","female","GRVD",FALSE,1,7,1,213114,1,"County 1",-121.271190305787,38.6903555668477,"Zone B",FALSE
"AGENCY",1368216,2015-01-10,2015,"Cs inornata","male","NJLT",FALSE,1,8,103,145114,1,"County 1",-121.091049177029,38.7530987913638,"Zone A",FALSE
"AGENCY",1367012,2015-01-02,2015,"Cs inornata","male","GRVD",FALSE,1,15,1,242114,1,"County 1",-121.234456469099,38.7646016650245,"Zone B",FALSE
"AGENCY",1366927,2015-01-02,2015,"Cs incidens","female","NJLT",FALSE,1,15,10,221114,1,"County 1",-121.100280758907,38.8026634184698,"Zone A",FALSE
"AGENCY",1366930,2015-01-02,2015,"Cs inornata","female","NJLT",FALSE,1,15,3,233114,1,"County 1",-121.262332433519,38.807948930668,"Zone C",FALSE
"AGENCY",1374215,2015-01-22,2015,"Cs inornata","female","NJLT",FALSE,1,6,1,225114,1,"County 1",-121.278891878232,38.8484707496476,"Zone C",FALSE
"AGENCY",1368279,2015-01-10,2015,"Cx pipiens","female","MMT",FALSE,1,8,1,204114,1,"County 1",-121.228183613714,38.7515485982523,"Zone B",FALSE
"AGENCY",1371139,2015-01-16,2015,"Cx pipiens","female","GRVD",FALSE,1,6,1,135114,1,"County 1",-121.344846433912,38.7648453474245,"Zone B",FALSE
"AGENCY",1370795,2015-01-16,2015,"Cs inornata","female","NJLT",FALSE,1,6,4,253115,1,"County 1",-121.23174288552,38.8537521964005,"Zone C",FALSE
"AGENCY",1377690,2015-01-29,2015,"Cs inornata","female","NJLT",FALSE,1,7,3,204115,1,"County 1",-121.27880428169,38.835736347756,"Zone C",FALSE
"AGENCY",1377710,2015-01-29,2015,"Cs inornata","female","MMT",FALSE,1,7,1,144114,1,"County 1",-121.304753429006,38.7082019322223,"Zone B",FALSE
"AGENCY",1370902,2015-01-16,2015,"Cs inornata","female","NJLT",FALSE,1,6,3,204115,1,"County 1",-121.321090210837,38.746251596555,"Zone B",FALSE
"AGENCY",1368219,2015-01-10,2015,"Cx pipiens","female","GRVD",FALSE,1,8,31,222114,1,"County 1",-121.310608262335,38.7996360245314,"Zone B",FALSE
"AGENCY",1374115,2015-01-22,2015,"Cs inornata","female","NJLT",FALSE,1,6,10,242114,1,"County 1",-121.123161536234,38.7774612582671,"Zone A",FALSE
"AGENCY",1374898,2015-01-22,2015,"Cx pipiens","female","GRVD",FALSE,1,6,1,242114,1,"County 1",-121.333463869206,38.7849706097029,"Zone B",FALSE
"AGENCY",1367017,2015-01-02,2015,"Cs incidens","male","NJLT",FALSE,1,15,1,253114,1,"County 1",-121.164666883948,38.8320080857648,"Zone C",FALSE
"AGENCY",1377700,2015-01-29,2015,"Cs inornata","female","NJLT",FALSE,1,7,6,144114,1,"County 1",-121.296392248635,38.8415329110068,"Zone C",FALSE
"AGENCY",1373906,2015-01-22,2015,"Cx stigmatosoma","female","NJLT",FALSE,1,6,1,204114,1,"County 1",-121.179311774787,38.8361133561167,"Zone C",FALSE
"AGENCY",1370506,2015-01-16,2015,"Cx pipiens","female","NJLT",FALSE,1,6,4,260126,1,"County 1",-121.263704631719,38.8305122716141,"Zone C",FALSE
"AGENCY",1374102,2015-01-22,2015,"Cs incidens","female","NJLT",FALSE,1,6,8,222114,1,"County 1",-121.229103392721,38.7767224454531,"Zone A",FALSE
"AGENCY",1368233,2015-01-10,2015,"An freeborni","female","GRVD",FALSE,1,8,4,136114,1,"County 1",-121.315914372226,38.7844596815938,"Zone B",FALSE
"AGENCY",1377678,2015-01-29,2015,"Cx pipiens","male","NJLT",FALSE,1,7,1,204114,1,"County 1",-121.351159171619,38.7398454415016,"Zone B",FALSE
"AGENCY",1366928,2015-01-02,2015,"Cs inornata","female","GRVD",FALSE,1,15,1,204114,1,"County 1",-121.304741642306,38.8289163632988,"Zone C",FALSE
"AGENCY",1370877,2015-01-16,2015,"Cs incidens","female","NJLT",FALSE,1,6,1,212114,1,"County 1",-121.251882571871,38.7054081085113,"Zone B",FALSE
"AGENCY",1378097,2015-02-05,2015,"Cs inornata","female","NJLT",FALSE,1,7,6,242114,1,"County 1",-121.139626393971,38.7750387395409,"Zone A",FALSE
"AGENCY",1378176,2015-02-05,2015,"Cs inornata","male","NJLT",FALSE,1,7,33,252114,1,"County 1",-121.191375246958,38.6733037034638,"Zone B",FALSE
"AGENCY",1379074,2015-02-13,2015,"Cx pipiens","female","NJLT",FALSE,1,8,4,253115,1,"County 1",-121.168431359939,38.7366456418064,"Zone A",FALSE
"AGENCY",1378951,2015-02-13,2015,"Cx pipiens","male","GRVD",FALSE,1,8,1,204114,1,"County 1",-121.169049994619,38.8127477627218,"Zone A",FALSE
"AGENCY",1380169,2015-02-27,2015,"Cs incidens","female","NJLT",FALSE,1,7,2,204115,1,"County 1",-121.226760886104,38.8112457837353,"Zone C",FALSE
"AGENCY",1378110,2015-02-05,2015,"Cx pipiens","female","NJLT",FALSE,1,7,1,124114,1,"County 1",-121.284665292072,38.7345159352986,"Zone B",FALSE
"AGENCY",1379403,2015-02-20,2015,"Cs inornata","female","MMT",FALSE,1,7,4,165114,1,"County 1",-121.230403138588,38.77980400225,"Zone A",FALSE
"AGENCY",1378167,2015-02-05,2015,"Cs inornata","female","GRVD",FALSE,1,7,1,145114,1,"County 1",-121.110977197374,38.7309968652625,"Zone A",FALSE
"AGENCY",1378176,2015-02-05,2015,"Cs inornata","male","NJLT",FALSE,1,7,33,252114,1,"County 1",-121.191375246958,38.6733037034638,"Zone B",FALSE
"AGENCY",1378131,2015-02-05,2015,"Cs inornata","male","NJLT",FALSE,1,7,3,201133,1,"County 1",-121.194884933496,38.777388188091,"Zone A",FALSE
"AGENCY",1379684,2015-02-20,2015,"Cs inornata","male","NJLT",FALSE,1,7,5,253114,1,"County 1",-121.242024209072,38.8235601718761,"Zone C",FALSE
"AGENCY",1379066,2015-02-13,2015,"Cx tarsalis","female","NJLT",FALSE,1,8,2,221114,1,"County 1",-121.298574095054,38.7026797502616,"Zone B",FALSE
"AGENCY",1379075,2015-02-13,2015,"Cs inornata","female","NJLT",FALSE,1,8,13,252114,1,"County 1",-121.07010211955,38.7355545354229,"Zone A",FALSE
"AGENCY",1379031,2015-02-13,2015,"Cx pipiens","female","GRVD",FALSE,1,8,57,222114,1,"County 1",-121.328016381772,38.7340008226549,"Zone B",FALSE
"AGENCY",1379066,2015-02-13,2015,"Cx tarsalis","female","NJLT",FALSE,1,8,2,221114,1,"County 1",-121.298574095054,38.7026797502616,"Zone B",FALSE
"AGENCY",1380169,2015-02-27,2015,"Cx pipiens","male","NJLT",FALSE,1,7,1,204115,1,"County 1",-121.219583590205,38.7712976433761,"Zone A",FALSE
"AGENCY",1379684,2015-02-20,2015,"Cs inornata","male","NJLT",FALSE,1,7,5,253114,1,"County 1",-121.242024209072,38.8235601718761,"Zone C",FALSE
"AGENCY",1378209,2015-02-05,2015,"Cs incidens","female","GRVD",FALSE,1,7,1,204115,1,"County 1",-121.318018228661,38.7641751306618,"Zone B",FALSE
"AGENCY",1378136,2015-02-05,2015,"Cx tarsalis","male","NJLT",FALSE,1,7,1,221114,1,"County 1",-121.266771650937,38.7389954020675,"Zone B",FALSE
"AGENCY",1380205,2015-02-27,2015,"Cx pipiens","female","NJLT",FALSE,1,7,2,221114,1,"County 1",-121.188294220989,38.7304986698152,"Zone B",FALSE
"AGENCY",1379402,2015-02-20,2015,"Cs inornata","female","NJLT",FALSE,1,7,30,241118,1,"County 1",-121.17820796609,38.8390122858962,"Zone C",FALSE
"AGENCY",1378137,2015-02-05,2015,"Cs inornata","male","NJLT",FALSE,1,7,1,212114,1,"County 1",-121.123644309469,38.7987116712781,"Zone A",FALSE
"AGENCY",1380216,2015-02-27,2015,"Cs inornata","male","NJLT",FALSE,1,7,16,145114,1,"County 1",-121.26259183007,38.8182178736721,"Zone C",FALSE
"AGENCY",1378087,2015-02-05,2015,"Cs inornata","male","NJLT",FALSE,1,7,12,260126,1,"County 1",-121.260869822166,38.7912128032854,"Zone B",FALSE
"AGENCY",1379067,2015-02-13,2015,"Cx pipiens","female","NJLT",FALSE,1,8,1,260126,1,"County 1",-121.177669938388,38.7624648828785,"Zone A",FALSE
"AGENCY",1379063,2015-02-13,2015,"Cx pipiens","female","NJLT",FALSE,1,8,4,124114,1,"County 1",-121.236957432951,38.8493552835807,"Zone C",FALSE
"AGENCY",1379402,2015-02-20,2015,"Cs inornata","male","NJLT",FALSE,1,7,15,241118,1,"County 1",-121.207783835571,38.8242406353446,"Zone C",FALSE
"AGENCY",1378945,2015-02-13,2015,"Cs incidens","male","NJLT",FALSE,1,8,11,222114,1,"County 1",-121.169045977479,38.8024192697527,"Zone A",FALSE
"AGENCY",1379435,2015-02-20,2015,"Cx pipiens","male","NJLT",FALSE,1,7,1,204114,1,"County 1",-121.214200926076,38.7866583674546,"Zone A",FALSE
"AGENCY",1379074,2015-02-13,2015,"Cx tarsalis","female","NJLT",FALSE,1,8,3,253115,1,"County 1",-121.267601029081,38.7305812097251,"Zone B",FALSE
"AGENCY",1379489,2015-02-20,2015,"Cs inornata","male","NJLT",FALSE,1,7,3,201133,1,"County 1",-121.295903772494,38.7629917556853,"Zone B",FALSE
"AGENCY",1380161,2015-02-27,2015,"Cs inornata","female","NJLT",FALSE,1,7,3,135114,1,"County 1",-121.201891729573,38.82729315428,"Zone C",FALSE
"AGENCY",1378087,2015-02-05,2015,"Cs inornata","female","NJLT",FALSE,1,7,28,260126,1,"County 1",-121.177805387185,38.776762862929,"Zone A",FALSE
"AGENCY",1380207,2015-02-27,2015,"Cx pipiens","male","NJLT",FALSE,1,7,1,204114,1,"County 1",-121.334213898038,38.8525177228862,"Zone C",FALSE
"AGENCY",1380183,2015-02-27,2015,"Cx pipiens","female","GRVD",FALSE,1,7,4,212114,1,"County 1",-121.083254042143,38.7475669151158,"Zone A",FALSE
"AGENCY",1380166,2015-02-27,2015,"Cx pipiens","male","NJLT",FALSE,1,7,6,222114,1,"County 1",-121.325491874797,38.8409968476999,"Zone C",FALSE
"AGENCY",1379067,2015-02-13,2015,"Cs inornata","male","NJLT",FALSE,1,8,12,260126,1,"County 1",-121.277030257334,38.8374662442124,"Zone C",FALSE
"AGENCY",1379403,2015-02-20,2015,"Cs inornata","male","MMT",FALSE,1,7,3,165114,1,"County 1",-121.076082780976,38.7510848361161,"Zone A",FALSE
"AGENCY",1378199,2015-02-05,2015,"Cx stigmatosoma","female","GRVD",FALSE,1,7,1,213114,1,"County 1",-121.213769546547,38.8391252027713,"Zone C",FALSE
"AGENCY",1380202,2015-02-27,2015,"Cx tarsalis","female","GRVD",FALSE,1,7,1,124114,1,"County 1",-121.272638748105,38.6998217000438,"Zone B",FALSE
"AGENCY",1379678,2015-02-20,2015,"An freeborni","female","GRVD",FALSE,1,7,1,136114,1,"County 1",-121.25670812114,38.8620532428892,"Zone C",FALSE
"AGENCY",1379496,2015-02-20,2015,"Cx tarsalis","female","NJLT",FALSE,1,7,1,136114,1,"County 1",-121.195610355966,38.7367585115054,"Zone B",FALSE
"AGENCY",1378203,2015-02-05,2015,"Cx pipiens","female","GRVD",FALSE,1,7,77,221114,1,"County 1",-121.116243699433,38.8133725951749,"Zone A",FALSE
"AGENCY",1378200,2015-02-05,2015,"Cs incidens","female","MMT",FALSE,1,7,1,204115,1,"County 1",-121.255232547447,38.7082721693296,"Zone B",FALSE
"AGENCY",1379074,2015-02-13,2015,"Cx tarsalis","female","NJLT",FALSE,1,8,3,253115,1,"County 1",-121.267601029081,38.7305812097251,"Zone B",FALSE
"AGENCY",1380177,2015-02-27,2015,"Cx pipiens","female","GRVD",FALSE,1,7,1,241118,1,"County 1",-121.239213644267,38.8205183166727,"Zone C",FALSE
"AGENCY",1379031,2015-02-13,2015,"Cx pipiens","female","GRVD",FALSE,1,8,57,222114,1,"County 1",-121.328016381772,38.7340008226549,"Zone B",FALSE
"AGENCY",1379075,2015-02-13,2015,"Cx pipiens","female","NJLT",FALSE,1,8,5,252114,1,"County 1",-121.077109479223,38.7364132885959,"Zone A",FALSE
"AGENCY",1380169,2015-02-27,2015,"Cx pipiens","male","NJLT",FALSE,1,7,1,204115,1,"County 1",-121.219583590205,38.7712976433761,"Zone A",FALSE
"AGENCY",1380167,2015-02-27,2015,"Cs inornata","female","NJLT",FALSE,1,7,20,260126,1,"County 1",-121.283392668113,38.8600462367319,"Zone C",FALSE
"AGENCY",1380665,2015-03-05,2015,"Cx tarsalis","female","NJLT",FALSE,1,6,1,260126,1,"County 1",-121.298765557913,38.7151026265767,"Zone B",FALSE
"AGENCY",1383584,2015-03-12,2015,"Cs inornata","male","NJLT",FALSE,1,7,2,212114,1,"County 1",-121.254166186578,38.8126464601865,"Zone C",FALSE
"AGENCY",1385627,2015-03-26,2015,"Cs inornata","male","NJLT",FALSE,1,7,6,165114,1,"County 1",-121.197822450804,38.6927435177786,"Zone B",FALSE
"AGENCY",1384481,2015-03-19,2015,"Cx pipiens","female","GRVD",FALSE,1,7,2,253115,1,"County 1",-121.314939261529,38.8266730684012,"Zone C",FALSE
"AGENCY",1383590,2015-03-12,2015,"Cs inornata","female","GRVD",FALSE,1,7,2,252114,1,"County 1",-121.163736899794,38.7469326108381,"Zone A",FALSE
"AGENCY",1384490,2015-03-19,2015,"Cx pipiens","female","NJLT",FALSE,1,7,1,233114,1,"County 1",-121.197554630944,38.7058318330502,"Zone B",FALSE
"AGENCY",1380667,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,10,165114,1,"County 1",-121.319261082757,38.8228017732633,"Zone C",FALSE
"AGENCY",1383579,2015-03-12,2015,"Cs inornata","female","NJLT",FALSE,1,7,19,135114,1,"County 1",-121.124986352993,38.7456410222761,"Zone A",FALSE
"AGENCY",1385658,2015-03-26,2015,"Cx pipiens","female","GRVD",FALSE,1,7,7,204114,1,"County 1",-121.184243786667,38.7979066445636,"Zone A",FALSE
"AGENCY",1383567,2015-03-12,2015,"Cs incidens","female","NJLT",FALSE,1,7,11,221114,1,"County 1",-121.295760936703,38.7864355911448,"Zone B",FALSE
"AGENCY",1385674,2015-03-26,2015,"Cx pipiens","female","GRVD",FALSE,1,7,8,124114,1,"County 1",-121.227985531919,38.7807779754848,"Zone A",FALSE
"AGENCY",1380666,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,2,252114,1,"County 1",-121.132812874252,38.8308252726091,"Zone C",FALSE
"AGENCY",1380660,2015-03-05,2015,"Cs inornata","female","GRVD",FALSE,1,6,1,252114,1,"County 1",-121.2322799871,38.8385889315583,"Zone C",FALSE
"AGENCY",1383568,2015-03-12,2015,"Cs inornata","female","NJLT",FALSE,1,7,1,204114,1,"County 1",-121.222971788853,38.7994387299923,"Zone A",FALSE
"AGENCY",1383613,2015-03-12,2015,"Cx pipiens","female","GRVD",FALSE,1,7,21,204114,1,"County 1",-121.119884862248,38.7424001969023,"Zone A",FALSE
"AGENCY",1385651,2015-03-26,2015,"Cx pipiens","female","GRVD",FALSE,1,7,17,221114,1,"County 1",-121.156978374091,38.7605245296343,"Zone A",FALSE
"AGENCY",1385660,2015-03-26,2015,"Cs inornata","female","NJLT",FALSE,1,7,2,136114,1,"County 1",-121.10639666699,38.7872965353551,"Zone A",FALSE
"AGENCY",1383620,2015-03-12,2015,"Cx pipiens","female","GRVD",FALSE,1,7,43,222114,1,"County 1",-121.328940222151,38.8702538493232,"Zone C",FALSE
"AGENCY",1383615,2015-03-12,2015,"Cs incidens","female","GRVD",FALSE,1,7,9,204115,1,"County 1",-121.184672946491,38.8381260071761,"Zone C",FALSE
"AGENCY",1385631,2015-03-26,2015,"Cx pipiens","female","GRVD",FALSE,1,7,6,241118,1,"County 1",-121.116013232379,38.7966943871695,"Zone A",FALSE
"AGENCY",1380661,2015-03-05,2015,"Cx tarsalis","female","NJLT",FALSE,1,6,1,253115,1,"County 1",-121.306846515533,38.8121848603269,"Zone C",FALSE
"AGENCY",1380663,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,2,225114,1,"County 1",-121.289435494138,38.7595849225862,"Zone B",FALSE
"AGENCY",1383594,2015-03-12,2015,"Cs inornata","female","NJLT",FALSE,1,7,3,253115,1,"County 1",-121.19315370489,38.7022881795998,"Zone B",FALSE
"AGENCY",1385636,2015-03-26,2015,"Cs incidens","male","NJLT",FALSE,1,7,1,253115,1,"County 1",-121.227980860097,38.8457706607821,"Zone C",FALSE
"AGENCY",1384554,2015-03-19,2015,"Cx pipiens","female","GRVD",FALSE,1,7,15,222114,1,"County 1",-121.302640494987,38.8169598191613,"Zone C",FALSE
"AGENCY",1383613,2015-03-12,2015,"Cs incidens","female","GRVD",FALSE,1,7,3,204114,1,"County 1",-121.284630162052,38.7033584072514,"Zone B",FALSE
"AGENCY",1380660,2015-03-05,2015,"Cs inornata","male","GRVD",FALSE,1,6,2,252114,1,"County 1",-121.149360552221,38.809170437682,"Zone A",FALSE
"AGENCY",1383617,2015-03-12,2015,"Cs inornata","female","GRVD",FALSE,1,7,1,145114,1,"County 1",-121.129279805852,38.8311579084966,"Zone C",FALSE
"AGENCY",1380689,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,3,135114,1,"County 1",-121.328476079447,38.7378350979885,"Zone B",FALSE
"AGENCY",1385656,2015-03-26,2015,"Cs inornata","female","NJLT",FALSE,1,7,5,135114,1,"County 1",-121.294066118973,38.7196141264839,"Zone B",FALSE
"AGENCY",1383623,2015-03-12,2015,"Cx pipiens","female","GRVD",FALSE,1,7,3,124114,1,"County 1",-121.320528539662,38.7612099156493,"Zone B",FALSE
"AGENCY",1385640,2015-03-26,2015,"Cs inornata","male","NJLT",FALSE,1,7,4,221114,1,"County 1",-121.249865193062,38.8175915280092,"Zone C",FALSE
"AGENCY",1385636,2015-03-26,2015,"Cx pipiens","female","NJLT",FALSE,1,7,3,253115,1,"County 1",-121.178585455393,38.7271832923494,"Zone B",FALSE
"AGENCY",1380669,2015-03-05,2015,"Cs inornata","male","NJLT",FALSE,1,6,5,221114,1,"County 1",-121.241242417723,38.8444391832583,"Zone C",FALSE
"AGENCY",1383603,2015-03-12,2015,"An freeborni","female","MMT",FALSE,1,7,2,232114,1,"County 1",-121.228687146493,38.8536417951751,"Zone C",FALSE
"AGENCY",1383561,2015-03-12,2015,"Cx tarsalis","female","NJLT",FALSE,1,7,3,232114,1,"County 1",-121.233024242359,38.8130054071939,"Zone C",FALSE
"AGENCY",1384553,2015-03-19,2015,"Cx tarsalis","female","NJLT",FALSE,1,7,3,253115,1,"County 1",-121.247462309268,38.8085096206769,"Zone C",FALSE
"AGENCY",1383613,2015-03-12,2015,"Cx pipiens","female","GRVD",FALSE,1,7,21,204114,1,"County 1",-121.119884862248,38.7424001969023,"Zone A",FALSE
"AGENCY",1383601,2015-03-12,2015,"Cx tarsalis","female","NJLT",FALSE,1,7,12,204115,1,"County 1",-121.229785419554,38.7458824892674,"Zone B",FALSE
"AGENCY",1384536,2015-03-19,2015,"Cx pipiens","female","GRVD",FALSE,1,7,14,221114,1,"County 1",-121.110777448054,38.7610108961051,"Zone A",FALSE
"AGENCY",1380679,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,3,232114,1,"County 1",-121.089619058055,38.7507424808306,"Zone A",FALSE
"AGENCY",1385621,2015-03-26,2015,"Cx pipiens","female","GRVD",FALSE,1,7,3,253114,1,"County 1",-121.1146782546,38.8021487398271,"Zone A",FALSE
"AGENCY",1383589,2015-03-12,2015,"Cs inornata","male","NJLT",FALSE,1,7,2,251114,1,"County 1",-121.187400527367,38.8185765522309,"Zone A",FALSE
"AGENCY",1380665,2015-03-05,2015,"Cx tarsalis","female","NJLT",FALSE,1,6,1,260126,1,"County 1",-121.298765557913,38.7151026265767,"Zone B",FALSE
"AGENCY",1383609,2015-03-12,2015,"Cx pipiens","female","MMT",FALSE,1,7,66,222114,1,"County 1",-121.258002635721,38.8222443526232,"Zone C",FALSE
"AGENCY",1380679,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,3,232114,1,"County 1",-121.089619058055,38.7507424808306,"Zone A",FALSE
"AGENCY",1385649,2015-03-26,2015,"Cs incidens","female","NJLT",FALSE,1,7,3,204114,1,"County 1",-121.168077386256,38.8252457459254,"Zone C",FALSE
"AGENCY",1385655,2015-03-26,2015,"Cx tarsalis","female","NJLT",FALSE,1,7,1,222114,1,"County 1",-121.215028485662,38.83936294479,"Zone C",FALSE
"AGENCY",1383593,2015-03-12,2015,"Cs inornata","male","NJLT",FALSE,1,7,23,145114,1,"County 1",-121.141058121073,38.7297733360316,"Zone A",FALSE
"AGENCY",1380661,2015-03-05,2015,"Cs inornata","female","NJLT",FALSE,1,6,3,253115,1,"County 1",-121.126598082293,38.7713072623861,"Zone A",FALSE
"AGENCY",1388645,2015-04-09,2015,"Cs inornata","female","NJLT",FALSE,1,7,6,251114,1,"County 1",-121.180767761921,38.8099418133288,"Zone A",FALSE
"AGENCY",1386316,2015-04-02,2015,"Cs inornata","male","NJLT",FALSE,1,7,1,232114,1,"County 1",-121.129099039777,38.7743398276406,"Zone A",FALSE
"AGENCY",1391581,2015-04-23,2015,"Cs inornata","male","NJLT",FALSE,1,7,3,212114,1,"County 1",-121.296287365376,38.8703745148785,"Zone C",FALSE
"AGENCY",1395391,2015-04-26,2015,"Cx pipiens","female","CO2",FALSE,1,1,4,886,1,"County 1",-121.147023030259,38.7191218916934,"Zone A",FALSE
"AGENCY",1392963,2015-04-26,2015,"Cx tarsalis","female","CO2",FALSE,1,1,10,135116,1,"County 1",-121.280590131905,38.7529960984097,"Zone B",FALSE
"AGENCY",1392588,2015-04-23,2015,"Cx pipiens","male","GRVD",FALSE,1,7,3,242114,1,"County 1",-121.300343946821,38.7368000574014,"Zone B",FALSE
"AGENCY",1390894,2015-04-19,2015,"Cs incidens","female","GRVD",FALSE,1,1,1,115115,1,"County 1",-121.252030932957,38.8572479480217,"Zone C",FALSE
"AGENCY",1392924,2015-04-26,2015,"Cx pipiens","female","GRVD",FALSE,1,1,1,145127,1,"County 1",-121.196699268852,38.7537529083222,"Zone A",FALSE
"AGENCY",1388732,2015-04-09,2015,"Cx tarsalis","female","GRVD",FALSE,1,7,3,212114,1,"County 1",-121.321265666004,38.7148905804686,"Zone B",FALSE
"AGENCY",1392827,2015-04-26,2015,"Ae sticticus","female","CO2",FALSE,1,1,61,252125,1,"County 1",-121.304737968525,38.86658331226,"Zone C",FALSE
"AGENCY",1390892,2015-04-19,2015,"Cx pipiens","female","CO2",FALSE,1,1,2,115115,1,"County 1",-121.166078136565,38.7962181340867,"Zone A",FALSE
"AGENCY",1395391,2015-04-26,2015,"Cx tarsalis","female","CO2",FALSE,1,1,19,886,1,"County 1",-121.324650480546,38.7363446662694,"Zone B",FALSE
"AGENCY",1395758,2015-04-30,2015,"Cs inornata","female","NJLT",FALSE,1,7,2,232114,1,"County 1",-121.216936925544,38.757347145896,"Zone B",FALSE
