"","agency_code","id","surv_year","collection_date","site_code","species_display_name","sex_type","trap_acronym","num_count","test_target_acronym","test_method_name","test_status_name","agency_id","pool_longitude","pool_latitude"
"11","AGENCY",518171,2015,2015-08-17,204952,"Cx pipiens","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.102949924051,38.7468071717982
"12","AGENCY",524804,2015,2015-09-11,102958,"Cx pipiens","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.069836544844,38.7366056564637
"13","AGENCY",515103,2015,2015-08-09,203960,"Cx tarsalis","female","CO2",7,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.284457159597,38.7814381873903
"14","AGENCY",522199,2015,2015-08-31,254958,"Cx pipiens","female","CO2",13,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.141558359679,38.8302598801669
"15","AGENCY",530883,2015,2015-10-02,232966,"Cx pipiens","female","GRVD",2,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.216399363121,38.8166310592685
"16","AGENCY",492092,2015,2015-06-05,222016,"Cx pipiens","female","GRVD",17,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.258637836456,38.7991982873676
"17","AGENCY",504698,2015,2015-07-10,231971,"Cx pipiens","female","CO2",51,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.209513268861,38.708988201333
"18","AGENCY",513148,2015,2015-06-19,45,"Cx tarsalis","female","CO2",100,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.186020140659,38.8058922061422
"19","AGENCY",511162,2015,2015-07-27,260954,"Cx pipiens","female","GRVD",1,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.233631521679,38.6851312397093
"20","AGENCY",533935,2015,2015-10-12,135961,"Cx pipiens","female","GRVD",3,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.220449235636,38.8370518836371
"21","AGENCY",494130,2015,2015-06-07,241955,"Cx tarsalis","female","GRVD",2,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.225794051258,38.7974992051807
"22","AGENCY",532721,2015,2015-10-10,211984,"Cx pipiens","female","CO2",7,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.297206340391,38.7356586557016
"23","AGENCY",507530,2015,2015-07-19,233044,"Cx tarsalis","female","GRVD",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.20389806608,38.8492915163272
"24","AGENCY",519004,2015,2015-08-21,102958,"Cx pipiens","female","CO2",32,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.319180864773,38.8634108541953
"25","AGENCY",487508,2015,2015-05-08,212960,"Cx pipiens","female","GRVD",29,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.162057482639,38.7722223825237
"26","AGENCY",527898,2015,2015-09-21,241961,"Cx pipiens","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.170289992447,38.77064807643
"27","AGENCY",515152,2015,2015-08-09,204984,"Cx pipiens","female","CO2",4,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.26440574804,38.8375131472613
"28","AGENCY",518267,2015,2015-08-17,134963,"Cx tarsalis","female","CO2",24,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.110262663126,38.7635050758561
"29","AGENCY",494141,2015,2015-06-07,231990,"Cx pipiens","female","CO2",13,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.164028492843,38.8069031104144
"30","AGENCY",491154,2015,2015-05-30,232960,"Cx pipiens","female","GRVD",22,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.253295379875,38.6872463529872
"31","AGENCY",498805,2015,2015-06-26,221962,"Cx pipiens","female","CO2",41,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.30054944554,38.7314528482821
"32","AGENCY",528328,2015,2015-09-21,134967,"Cx tarsalis","female","GRVD",3,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.066235739042,38.7457692316157
"33","AGENCY",503714,2015,2015-07-06,254958,"Cx tarsalis","female","CO2",4,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.247936103482,38.6939728914681
"34","AGENCY",513740,2015,2015-07-31,27,"Cx tarsalis","female","CO2",54,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.228779671302,38.7764144537934
"35","AGENCY",511784,2015,2015-07-31,124953,"Cx pipiens","female","GRVD",1,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.131979164565,38.7864983613084
"36","AGENCY",501501,2015,2015-07-03,222016,"Cx pipiens","female","CO2",6,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.241072875427,38.7754495848462
"37","AGENCY",530887,2015,2015-10-02,242964,"Cx pipiens","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.293895740527,38.8291315836218
"38","AGENCY",513704,2015,2015-07-31,0,"Cx erythrothorax","female","CO2",10,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.143733261969,38.8290327865503
"39","AGENCY",501452,2015,2015-07-03,242960,"Cx pipiens","female","CO2",4,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.136379408472,38.7929067339845
"40","AGENCY",523680,2015,2015-09-07,124961,"Cx pipiens","female","CO2",5,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.173044122257,38.7970592882556
"41","AGENCY",491298,2015,2015-05-30,212968,"Cx tarsalis","female","CO2",3,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.140314908995,38.7945696151447
"42","AGENCY",513592,2015,2015-07-26,8,"Cx tarsalis","female","CO2",60,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.320493258423,38.8222700752673
"43","AGENCY",500010,2015,2015-06-29,233960,"Cx pipiens","female","CO2",11,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.226666012206,38.6911851197137
"44","AGENCY",497781,2015,2015-06-12,9,"Cx tarsalis","female","CO2",29,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.149013600854,38.744684574897
"45","AGENCY",508735,2015,2015-07-24,212968,"Cx pipiens","female","CO2",15,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.174182932853,38.7822768017838
"46","AGENCY",504765,2015,2015-07-10,231985,"Cx tarsalis","female","GRVD",4,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.155151868973,38.8001909673134
"47","AGENCY",526790,2015,2015-09-18,222015,"Cx pipiens","female","CO2",1,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.128674052902,38.7295414173236
"48","AGENCY",515163,2015,2015-08-09,213964,"Cx pipiens","female","GRVD",27,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.255230699702,38.7643690307561
"49","AGENCY",506641,2015,2015-07-17,103957,"Cx tarsalis","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.090031128733,38.7567393023561
"50","AGENCY",508949,2015,2015-07-24,233964,"Cx tarsalis","female","CO2",8,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.206996941642,38.7451302658633
"51","AGENCY",513471,2015,2015-07-17,48,"Cx tarsalis","female","CO2",100,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.232845811463,38.8077236699047
"52","AGENCY",533732,2015,2015-10-09,173,"Cx pipiens","female","GRVD",2,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.119854979447,38.7746486512059
"53","AGENCY",487979,2015,2015-05-10,134956,"Cx pipiens","female","GRVD",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.151084072956,38.8262365039767
"54","AGENCY",487106,2015,2015-05-03,252967,"Cx pipiens","female","GRVD",4,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.197936359653,38.7812224684833
"55","AGENCY",533883,2015,2015-10-12,242977,"Cx pipiens","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.241631200089,38.817330851536
"56","AGENCY",523471,2015,2015-09-04,21,"Cx tarsalis","female","REST",4,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.247062422049,38.7875613728887
"57","AGENCY",512832,2015,2015-08-03,203994,"Cx tarsalis","female","CO2",5,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.261449873761,38.8481918883023
"58","AGENCY",489437,2015,2015-05-22,211972,"Cx tarsalis","female","CO2",2,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.273656281798,38.8349748119246
"59","AGENCY",514309,2015,2015-08-07,231971,"Cx pipiens","female","CO2",16,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.224399581582,38.7274092738309
"60","AGENCY",500563,2015,2015-06-29,270954,"Cx tarsalis","female","CO2",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.25486067278,38.7991725132686
"61","AGENCY",526366,2015,2015-09-10,9,"Cx tarsalis","female","CO2",100,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.172826780586,38.7662170153351
"62","AGENCY",504594,2015,2015-07-10,222957,"Cx tarsalis","female","CO2",6,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.205844217199,38.6856855457407
"63","AGENCY",520881,2015,2015-08-28,231963,"Cx tarsalis","female","CO2",21,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.052500553447,38.727461733346
"64","AGENCY",522269,2015,2015-08-31,213964,"Cx pipiens","female","GRVD",15,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.319478470479,38.8593966113213
"65","AGENCY",496650,2015,2015-06-19,212999,"Cx pipiens","female","GRVD",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.301346693268,38.854707495465
"66","AGENCY",511651,2015,2015-07-31,212968,"Cx pipiens","female","GRVD",2,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.215675014285,38.7999392327745
"67","AGENCY",547695,2015,2015-11-09,212968,"Cx pipiens","female","CO2",2,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.271652963302,38.7158738583477
"68","AGENCY",507550,2015,2015-07-19,232992,"Cx pipiens","female","CO2",13,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.133366545252,38.8104157699751
"69","AGENCY",504602,2015,2015-07-10,232974,"Cx tarsalis","female","CO2",4,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.120108206906,38.8271270296723
"70","AGENCY",494134,2015,2015-06-07,242985,"Cx pipiens","female","CO2",43,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.208639880525,38.8426574690467
"71","AGENCY",530904,2015,2015-10-02,222015,"Cx tarsalis","female","CO2",7,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.060903365757,38.7393422366108
"72","AGENCY",504871,2015,2015-07-10,114959,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.189861089763,38.8231387424945
"73","AGENCY",518274,2015,2015-08-17,135961,"Cx tarsalis","female","GRVD",2,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.286651697753,38.8577804083684
"74","AGENCY",516610,2015,2015-08-14,233025,"Cx pipiens","female","GRVD",2,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.176098064368,38.7528105952622
"75","AGENCY",506657,2015,2015-07-17,200957,"Cx tarsalis","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Confirmed",1,-121.115621209099,38.7709981251735
"76","AGENCY",506644,2015,2015-07-17,113952,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.356099992509,38.7641015954478
"77","AGENCY",504750,2015,2015-07-10,233044,"Cx pipiens","female","GRVD",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Confirmed",1,-121.268949111355,38.835123500379
"78","AGENCY",504584,2015,2015-07-10,242960,"Cx tarsalis","female","CO2",32,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.276771443103,38.802390666968
"79","AGENCY",527852,2015,2015-09-21,254958,"Cx pipiens","female","GRVD",4,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.099364905566,38.7965509222689
"80","AGENCY",533898,2015,2015-10-12,214956,"Cx pipiens","female","GRVD",17,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.282071031129,38.8358992910473
"81","AGENCY",518854,2015,2015-08-21,232960,"Cx tarsalis","female","CO2",8,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.241396099659,38.8338599123053
"82","AGENCY",492110,2015,2015-06-05,145957,"Cx tarsalis","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.331201673774,38.8649160651611
"83","AGENCY",503837,2015,2015-07-06,146966,"Cx tarsalis","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.289046298879,38.8605186593065
"84","AGENCY",527852,2015,2015-09-21,254958,"Cx pipiens","female","GRVD",4,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.074727495441,38.7386506967406
"85","AGENCY",527897,2015,2015-09-21,241961,"Cx pipiens","female","CO2",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.246054434614,38.7018646755941
"86","AGENCY",547720,2015,2015-11-09,211984,"Cx pipiens","female","GRVD",2,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.268951753805,38.7844941135247
"87","AGENCY",490782,2015,2015-05-25,146964,"Cx tarsalis","female","CO2",3,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.258245431688,38.7093706908466
"88","AGENCY",519012,2015,2015-08-21,212968,"Cx tarsalis","female","CO2",2,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.21940067058,38.8197453007351
"89","AGENCY",494177,2015,2015-06-08,244953,"Cx tarsalis","female","CO2",13,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.096855506533,38.771615319279
"90","AGENCY",490805,2015,2015-05-25,204002,"Cx pipiens","female","GRVD",22,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.210605915538,38.702645873243
"91","AGENCY",522700,2015,2015-09-05,144969,"Cx pipiens","female","CO2",4,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.288244694376,38.7730630080599
"92","AGENCY",520875,2015,2015-08-28,233964,"Cx pipiens","female","GRVD",2,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.213776433421,38.7122365721699
"93","AGENCY",513478,2015,2015-07-17,40,"Cx tarsalis","female","CO2",100,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.240538041841,38.839752552364
"94","AGENCY",504590,2015,2015-07-10,242964,"Cx pipiens","female","GRVD",9,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.313050100042,38.8055843165709
"95","AGENCY",505868,2015,2015-07-13,242985,"Cx tarsalis","female","CO2",35,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.195019807473,38.79091732488
"96","AGENCY",520197,2015,2015-08-24,134963,"Cx pipiens","female","GRVD",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.265225314034,38.8555012368808
"97","AGENCY",518062,2015,2015-08-13,2,"Cx pipiens","female","CO2",14,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.235998419332,38.7611567701725
"98","AGENCY",491315,2015,2015-05-30,213009,"Cx pipiens","female","GRVD",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.243574290277,38.7812066596499
"99","AGENCY",523427,2015,2015-09-04,23,"Cx tarsalis","female","CO2",33,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.189583086316,38.8371659538893
"100","AGENCY",494794,2015,2015-06-12,222016,"Cx pipiens","female","GRVD",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.280106691456,38.8132859271649
"101","AGENCY",520588,2015,2015-08-20,48,"Cx pipiens","female","CO2",96,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.140739050762,38.816788545328
"102","AGENCY",501576,2015,2015-07-03,113952,"Cx tarsalis","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.153363978354,38.7399913338668
"103","AGENCY",517911,2015,2015-08-16,254958,"Cx pipiens","female","CO2",7,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.248062538738,38.6840755221559
"104","AGENCY",514370,2015,2015-08-07,145970,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.309269597693,38.822908918988
"105","AGENCY",523437,2015,2015-09-04,24,"Cx pipiens","female","CO2",12,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.228057938392,38.77761000453
"106","AGENCY",499915,2015,2015-06-28,221962,"Cx pipiens","female","CO2",33,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.189886049325,38.7936303157638
"107","AGENCY",487223,2015,2015-05-04,134967,"Cx pipiens","female","CO2",7,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.261437232532,38.8432842969125
"108","AGENCY",495623,2015,2015-06-14,234952,"Cx tarsalis","female","GRVD",4,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.259707778332,38.8457065812601
"109","AGENCY",511711,2015,2015-07-31,103957,"Cx tarsalis","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.147807868407,38.7516088632245
"110","AGENCY",498025,2015,2015-06-22,213964,"Cx tarsalis","female","CO2",1,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.298808901673,38.7778063530048
"111","AGENCY",514384,2015,2015-08-07,201969,"Cx pipiens","female","GRVD",17,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.212636440921,38.7596329066298
"112","AGENCY",513472,2015,2015-07-17,48,"Cx tarsalis","female","CO2",100,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.191769547111,38.7803900280818
"113","AGENCY",494926,2015,2015-06-12,115953,"Cx tarsalis","female","CO2",24,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.182849448498,38.8025052305356
"114","AGENCY",500769,2015,2015-06-29,235953,"Cx tarsalis","female","CO2",2,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.230865048489,38.831936546376
"115","AGENCY",510930,2015,2015-07-27,134971,"Cx tarsalis","female","GRVD",2,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.164200887692,38.8207824745779
"116","AGENCY",487235,2015,2015-05-04,232969,"Cx pipiens","female","GRVD",20,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.236724618243,38.8461027872247
"117","AGENCY",510821,2015,2015-07-26,222998,"Cx pipiens","female","GRVD",6,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.164293337009,38.6933538052497
"118","AGENCY",528977,2015,2015-09-25,231952,"Cx pipiens","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.281723411438,38.8176523842195
"119","AGENCY",516075,2015,2015-08-10,124964,"Cx tarsalis","female","CO2",23,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.284028979311,38.8708970218332
"120","AGENCY",511032,2015,2015-07-27,223954,"Cx pipiens","female","GRVD",20,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.111232681115,38.7600647105917
"121","AGENCY",526176,2015,2015-09-14,124967,"Cx pipiens","female","GRVD",6,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.145849050028,38.7791690861583
"122","AGENCY",520160,2015,2015-08-24,252967,"Cx pipiens","female","CO2",4,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.310968810835,38.7156518255839
"123","AGENCY",508940,2015,2015-07-24,221952,"Cx tarsalis","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.2531220937,38.8027924296265
"124","AGENCY",527840,2015,2015-09-21,223954,"Cx pipiens","female","CO2",2,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.252419143318,38.8063779106432
"125","AGENCY",510951,2015,2015-07-27,124963,"Cx pipiens","female","GRVD",8,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.114527371058,38.7556934829772
"126","AGENCY",496054,2015,2015-06-15,134957,"Cx tarsalis","female","GRVD",2,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.138704384911,38.7588457742607
"127","AGENCY",520641,2015,2015-08-20,40,"Cx pipiens","female","CO2",10,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.256126002958,38.7474471506317
"128","AGENCY",510782,2015,2015-07-26,232952,"Cx pipiens","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.316787300038,38.8448586457031
"129","AGENCY",505986,2015,2015-07-13,260954,"Cx tarsalis","female","CO2",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.104860155647,38.7664566907959
"130","AGENCY",516092,2015,2015-08-10,234956,"Cx pipiens","female","GRVD",1,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.299192554174,38.8689293054018
"131","AGENCY",494940,2015,2015-06-12,114959,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.311385027035,38.8298116561832
"132","AGENCY",520940,2015,2015-08-28,142959,"Cx tarsalis","female","CO2",6,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.216888815127,38.7506413376916
"133","AGENCY",498042,2015,2015-06-22,213972,"Cx pipiens","female","GRVD",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.282913730624,38.8191547626103
"134","AGENCY",513318,2015,2015-07-03,45,"Cx tarsalis","female","CO2",100,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.273198709652,38.7062280795594
"135","AGENCY",489515,2015,2015-05-22,232992,"Cx pipiens","female","GRVD",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.179958937603,38.8456267945611
"136","AGENCY",496052,2015,2015-06-15,124961,"Cx pipiens","female","GRVD",35,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.196771040446,38.6708054576202
"137","AGENCY",501446,2015,2015-07-03,242964,"Cx pipiens","female","CO2",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.086223464914,38.748285022283
"138","AGENCY",504834,2015,2015-07-10,203971,"Cx tarsalis","female","GRVD",1,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.174228170167,38.7889704125848
"139","AGENCY",513427,2015,2015-07-10,48,"Cx tarsalis","female","CO2",100,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.121973518049,38.765580797136
"140","AGENCY",513257,2015,2015-06-26,4,"Cx tarsalis","female","CO2",66,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.227660455299,38.6783661763993
"141","AGENCY",518104,2015,2015-08-13,22,"Cx pipiens","female","CO2",18,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.305175591568,38.8007941973011
"142","AGENCY",498877,2015,2015-06-26,114959,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.253805419906,38.8632026562289
"143","AGENCY",508850,2015,2015-07-24,115953,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.249698444803,38.8609972256008
"144","AGENCY",498791,2015,2015-06-26,122957,"Cx tarsalis","female","CO2",50,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.203529524549,38.8100618720392
"145","AGENCY",516715,2015,2015-08-14,200957,"Cx tarsalis","female","CO2",50,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.095214894376,38.7791073199106
"146","AGENCY",516719,2015,2015-08-14,200957,"Cx tarsalis","female","CO2",50,"SLEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.306538747192,38.7475212278717
"147","AGENCY",522561,2015,2015-09-05,222015,"Cx pipiens","female","GRVD",2,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.17627848661,38.7155438359961
"148","AGENCY",526306,2015,2015-09-14,270958,"Cx pipiens","female","CO2",38,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.107153261187,38.8071681862967
"149","AGENCY",529038,2015,2015-09-25,102958,"Cx pipiens","female","CO2",22,"WNV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.305528375768,38.8313285629399
"150","AGENCY",519016,2015,2015-08-21,212999,"Cx pipiens","female","CO2",1,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.101975967733,38.8141163858538
"151","AGENCY",504854,2015,2015-07-10,102958,"Cx pipiens","female","CO2",18,"WEEV","Reverse Transcription Polymerase Chain Reaction","Negative",1,-121.309003425993,38.7329084582166
